Mensagem,label_ids,label_names,LLM_CORRETO (S/N),OBSERVACAO_HUMANA
"Olha a troca de seringa 💉 dentro do isopor. Qdo forem acompanhar algum parente na vacinação, fique de olho, preferencialmente filme!😡",6.3,Unsafe Administration,,
"Ok! O problema que não tem médico no Rio que  passa o medicamente e muito menos acreditam...afff...segundo eles o tratamento precose não existe , o melhor é a ""vacina"". Complicado ☹️","3.1,2.4","Alternative Products/Therapies,Censorship",,
Aproveitei e atualuzei minhas vacinas grupee hepatite b,0,Not misinformation,,
Imunidade de rebanho se faz com vacina inclusive,0,Not misinformation,,
Pois é nao sera obrigatória. Mas a questão é gastar 2 Bilhões com uma vacina que ninguem quer tomar como cobaia.,"4.4,4.5,6.3","Financial Misconduct,Autonomy Rights,Unsafe Administration",,
O NANO CHIP QUE VIRÁ NA VACINA DO BILL GATES E DA CHINA,"2.3,4.2,7.1","Conspiracy,Pseudoscientific Claims,Viral Myths",,
"VAERS mostra um aumento de *4070% em abortos espontâneos e natimortos* desde o lançamento da vacina mRNA


https://www.thegatewaypundit.com/2022/12/vaers-showing-4070-increase-miscarriages-stillbirths-since-mrna-roll/","2.2,4.3,6.2","Selective Reporting,Correlation vs Causation,Specific Side Effects",,
"Vendo macho de Border Collie
Vacinado com vacina importada 
Desverminado
Livre de ectoparasitas
Laudo de saude

Valor de ocasião.
Favor chamar no pv para ver os pais, valor e condições de pagamento",0,Not misinformation,,
Vacinação de crianças: mais de 10 estados e o DF não vão exigir pedido médico ☛ https://terrabrasilnoticias.com/2021/12/vacinacao-de-criancas-mais-de-10-estados-e-o-df-nao-vao-exigir-pedido-medico/,0,Not misinformation,,
"Pra quê vacina, com picaretas divulgando vitaminas? Fazendo idiotas gastarem seus dinheiros com marcas farmacêuticas? Como têm idiotas por aí... aposto que conhecemos alguns🤔😉",4.4,Financial Misconduct,,
*Novidade*  *Árvore chilena é aposta de vacina contra covid-19*  https://portalnovonorte.com.br/?p=30448&amp=1,0,Not misinformation,,
"Fui eu que ignorei os e-mails.
Que falou que era besteira a pressa da vacina
Fui eu.",0,Not misinformation,,
⭕ VACINAÇÃO DOS IDOSOS DE MANAUS - INÍCIO DE VACINAÇÃO EM DRIVE-THRU ⭕  https://www.facebook.com/portalcaboco/videos/1041988786309419/,0,Not misinformation,,
"Mas ele (Bolsonaro) teve muita culpa nas mortes, sim.
Principalmente em relação a vacina.",0,Not misinformation,,
Os doidões anti-vacina estão no mesmo nível dos doidões da Terra Plana.,0,Not misinformation,,
"*[PÚBLICO A SAÚDE] Forças Armadas devem começar a vacinar população, diz Bolsonaro – Publico A* https://publicoa.com.br/publico-a-saude-forcas-armadas-devem-comecar-a-vacinar-populacao-diz-bolsonaro/",0,Not misinformation,,
"Agora em março, quando ele viu que a vacinação era uma marcha irreversível, decidiu virar o pai da criança.",0,Not misinformation,,
E a queda brusca nos EUA coincide com o início do gov Biden que lv a sério a ciência e acelerou a vacinação por lá.,0,Not misinformation,,
Cidade que vacinou em massa com Coronavac vê casos de Covid quase triplicarem em menos de um mês ☛ https://terrabrasilnoticias.com/2022/01/cidade-que-vacinou-em-massa-com-coronavac-ve-casos-de-covid-quase-triplicarem-em-menos-de-um-mes/,"2.2,4.3,5.1","Selective Reporting,Correlation vs Causation,Imperfect Protection",,
Alguém deste grupo sabe informar quantas vacinas o Ceará já recebeu?,0,Not misinformation,,
DF recebe o primeiro lote de vacina da Pfizer https://dfsoberano.com.br/noticias/saude/df-recebe-o-primeiro-lote-de-vacina-da-pfizer/,0,Not misinformation,,
"Se fizeram o remédio, por que essas vacinas ,pra que essa colera de passaporte...",4.5,Autonomy Rights,,
99% das mortes por corona são de não vacinados ou quem não completou o esquema vacinal,0,Not misinformation,,
Será que eles vão ficar contando quantas pessoas vão morrer de dengue também por falta de vacina? Kkkkkkk,0,Not misinformation,,
"A vida pessoal do Bolsonaro não é da minha conta, eu não tomei a vacina, parem de perder tempo com o Bolsonaro, corram atrás da pica anha que o luladrão prometeu seus merdas petistas do caralho",0,Not misinformation,,
Outro escândalo! As vacinas covaxin foram compradas por 4 vzd o valor!,4.4,Financial Misconduct,,
"Vários países de primeiro mundo compraram as vacinas que Bolsonaro recusou, em caráter de emergência. Todos estão na frente do Brasil na imunização.",0,Not misinformation,,
"✈️ *PILOTOS ESTÃO MORRENDO EM SERVIÇO,  POR CAUSA DAS VACINAS... !*  *... IRÃO FAZER  GREVE  !*         👇","6.2,4.1","Specific Side Effects,Alarmism",,
"*🇵🇭 | Filipinas a vacinação é compulsória... vamos esperar a  água vai bater no nosso bumbum também, ou vamos agir  ???*  ⚠️",4.5,Autonomy Rights,,
AGORA É LEI. VACINACAO É FACULTATIVA EM MG GLORIA A DEUS! Proibido pedir comprovação vacinal,0,Not misinformation,,
Vacina pra q entao,5.1,Imperfect Protection,,
Discurso da Gracian na Audiência Pública sobre o Passaporte Vacinal. Aplaudida de pé!,0,Not misinformation,,
"Fica pergunta? 
Será a vacina ou não??",0,Not misinformation,,
Por isso criar a vacina,0,Not misinformation,,
"Se você tomou as Vacinas Experimentais, veja este vídeo. Se não tomou, veja também para proteger seus filhos e famíliares. 🙏","4.1,4.2","Alarmism,Pseudoscientific Claims",,
"Vai dar tudo certo, a senhora já está vacinada, vai ser tudo leve, vamos rezar",0,Not misinformation,,
"""É só vacinar que acaba a pandemia!""  É mesmo???   https://www.faroldabahia.com/noticia/video-tem-muito-paciente-intubado-ja-com-a-vacinacao-completa-alerta-o-medico-renato-kalil-sobre-a-covid-19",5.1,Imperfect Protection,,
Qual é a idade mínima para a vacinação para combater a pandemia?,0,Not misinformation,,
Sabe o melhor...ele não pediu nem obrigou ninguém a se vacinar,4.5,Autonomy Rights,,
"Deixa de ser estúpido, qual escândalo, não encontraram nada que prejudicasse a moral do Bolsonaro, kkkkkkkkk até o cartão de vacina foi investigado, o contrário do ladrão que tu defende, tem que ser um petista de merda pra pensar assim",0,Not misinformation,,
"Na China tá matando geral o 5G , arrebentando o crânio 💀 das pessoas na rua , efeitos da radiação micro ondas, com o condutor de calor no crânio, o grafeno que foi inoculado através das vacinas da morte. t.me/verdadesquasesecretas","2.3,4.1,4.2,6.2,7.1","Conspiracy,Alarmism,Pseudoscientific Claims,Specific Side Effects,Viral Myths",,
"Vacinação contra gripe para maiores de 6 meses inicia nesta segunda

 https://nahoradanoticia.com.br/rio-branco/vacinacao-contra-gripe-para-maiores-de-6-meses-inicia-nesta-segunda/",0,Not misinformation,,
"E você acha errado tomar vacina , um imbecil playboy bancado pelo pai que nem sabe nada sobre o assunto",0,Not misinformation,,
Depende da vacina que ela tomou 😏,0,Not misinformation,,
Tomou vacina? Cuidado com o urubu kkkk,0,Not misinformation,,
PGR diz que não houve falta de ação do governo para compra de vacinas     https://gazetabrasil.com.br/politica/2021/07/01/pgr-diz-que-nao-houve-falta-de-acao-do-governo-para-compra-de-vacinas/,0,Not misinformation,,
"Não! Ele não aceitou pois ela não foi aprovada com os padrões de qualidade/eficácia de outras vacinas. Aqui foi autorizado no desespero, com certeza.",1.3,Poor Research Quality,,
"Se for vacina da China, me avisa. To fora. Fico com o COVID.","4.5,5.4","Autonomy Rights,Low Disease Risk",,
E o planalto que deu sigilo de 100 anos pro cartão de vacina do presidente😂😂😂,0,Not misinformation,,
Essa da vacina já vinha falando a muito tempo,0,Not misinformation,,
"NOVO - Dr. Fauci diz que bebês, crianças pequenas podem ser elegíveis para a vacina COVID-19 nos Estados Unidos no início de 2022, mas ele ""não pode garantir isso"" (Insider)",0,Not misinformation,,
Esse embaixador é muito folgado a China era pra estar fornecendo vacina de graça para o mundo. Quero ver pcchines controlar a população se faltar comida. O Brasil é uma nação e merece respeito. Parabéns Paulo Guedes.,0,Not misinformation,,
Quando um narrador de futebol vai tomar a vacina,0,Not misinformation,,
"https://rumble.com/v2dzd2m-a-batalha-pela-humanidade-mortes-mentiras-vacinas-e-controle-total.html
A Batalha Pela Humanidade | Mortes, Mentiras, Vacinas e Controle Total","2.3,4.1,6.2","Conspiracy,Alarmism,Specific Side Effects",,
👉 Cícero Dantas começa nesta segunda-feira (05) fase de vacinação para novos públicos prioritários  https://sertaoempauta.com/cicero-dantas-comeca-nesta-segunda-feira-05-fase-de-vacinacao-para-novos-publicos-prioritarios/,0,Not misinformation,,
Vacinação sem vacinas - Professor Nazareno* - https://politico.painelpolitico.com/vacinacao-sem-vacinas-professor-nazareno/,0,Not misinformation,,
Sensacional! 😂😂😂😂😂 🐷🐷🐷 🦊 A história dos Três Porquinhos mostrando como funciona a proteção das vacinas é a tre,0,Not misinformation,,
Qual a tara em querer saber se ele se vacinou ou não? Ou em quem vai ao seu palácio?,4.5,Autonomy Rights,,
"↪️ *Vereador derruba, na Justiça, exigência de comprovante vacinal em Lagoa Formosa*  🤳 Veja no Patos Notícias: https://patosnoticias.com.br/vereador-derruba-na-justica-exigencia-de-comprovante-vacinal-em-lagoa-formosa/",0,Not misinformation,,
Na  Itália  políticos  são   contra  as  vacinas  obrigatoria,0,Not misinformation,,
Tem umas pistas aqui https://saude.abril.com.br/medicina/por-que-as-pessoas-estao-tomando-menos-vacina/,0,Not misinformation,,
"Ministro do STF, não permite ministro da saúde convocar a população para se vacinar, vc entendeu ?",0,Not misinformation,,
"PRA QUE AINDA ACHA QUE A VACINA FOI BOM PRA COVID, VEJA O QUE DIZ MÉDICO",0,Not misinformation,,
"https://www.tnh1.com.br/noticia/nid/e-fake-audio-de-suposto-medico-diz-que-coronavac-nao-imuniza-e-vacina-altera-dna/   aí amigo @5511988886689 , é fake oq vc tá falando",0,Not misinformation,,
"*Coronavirus: dos EUA à China, os países prontos para testar vacinas* https://meacheaki.com.br/coronavirus-dos-eua-a-china-os-paises-prontos-para-testar-vacinas/",0,Not misinformation,,
"Não foi dessa vez que deu errado, as vacinas já chegaram e serão distribuídas de imediato.",0,Not misinformation,,
Veja esta matéria: https://www.portalsbn.com.br/artigo/ernesto-araujo-pede-demissao-apos-intriga-com-senadores-e-falhas-nas-negociacoes-por-vacinas - É notícia? Tá no Portal SBN | Sistema Brasileiro de Notícias!,0,Not misinformation,,
N fala no vídeo sobre qual vacina ele se refere,0,Not misinformation,,
*Cabedelo oferece vacina contra a Febre Amarela em todas as Unidades de Saúde da Família* https://www.canaldopovo.com/2021/11/17/cabedelo-oferece-vacina-contra-a-febre-amarela-em-todas-as-unidades-de-saude-da-familia/,0,Not misinformation,,
"E A VACINA ASSASSINA COVID19 CONTINUA IMPLACÁVEL MATANDO OS VACINADOS COM UMA, DUAS, TRÊS E QUATRO DOSES ESPETADAS EM PESSOAS SADIAS. MAS A IMPRENSA MANCOMUNADA CONTINUA CALADINHA.","2.3,2.4,4.1,6.2","Conspiracy,Censorship,Alarmism,Specific Side Effects",,
"Pelo AMOR DE Deus gente... precisando de Vacinas, o Povo morrendo!",0,Not misinformation,,
QUERO VER A ESQUERDALHA TOMANDO ESTA VACINA QUAQUAQUAQUAQUAQUAQUA.,0,Not misinformation,,
"ISTOÉ: Pressionado, Pazuello pede ajuda do Planalto para comprar vacinas. https://istoe.com.br/pressionado-pazuello-pede-ajuda-do-planalto-para-comprar-vacinas/",0,Not misinformation,,
"*PSE CONTINUA COM A VACINAÇÃO ITINERANTE NAS ESCOLAS MUNICIPAIS*
https://campos24horas.com.br/noticia/pse-continua-com-a-vacinacao-itinerante-nas-escolas-municipais",0,Not misinformation,,
Sindicato e Associação de Motoristas de Aplicativos se unem em busca da vacina contra Covid-19 https://www.tribunapiaui.com.br/noticia/1065/sindicato-e-associacao-de-motoristas-de-aplicativos-se-unem-em-busca-da-vacina-contra-covid-19,0,Not misinformation,,
As minhas vacinas estão em dia 👍,0,Not misinformation,,
"Querem liberdade para usarem as medicações precoces e liberdade para trabalhar, vacinar ou não etc!","4.5,3.1","Autonomy Rights,Alternative Products/Therapies",,
